Score	TF
0.0121112929623568	EZH2 (20g)
0.0514893617021277	EZH2 (20g)
0.0229787234042553	EZH2 (20g)
0.04782324058919799	EZH2 (20g)
0.0	EZH2 (20g)
0.0834369885433715	EZH2 (20g)
0.0375122749590835	EZH2 (20g)
0.0	EZH2 (20g)
0.0216366612111293	EZH2 (20g)
0.0255646481178396	EZH2 (20g)
0.0624877250409165	EZH2 (20g)
0.11911620294599	EZH2 (20g)
0.0219967266775777	EZH2 (20g)
0.00180032733224223	EZH2 (20g)
0.07256955810147299	EZH2 (20g)
0.0245171849427169	EZH2 (20g)
0.0379050736497545	EZH2 (20g)
0.0198363338788871	EZH2 (20g)
0.107790507364975	EZH2 (20g)
0.0297545008183306	EZH2 (20g)
0.0295908346972177	EZH2 (20g)
0.0081505728314239	EZH2 (20g)
0.0162684124386252	EZH2 (20g)
0.0282160392798691	EZH2 (20g)
0.0418003273322422	EZH2 (20g)
0.0466121112929624	EZH2 (20g)
0.0231096563011457	EZH2 (20g)
0.0663502454991817	EZH2 (20g)
0.0453355155482815	EZH2 (20g)
0.026481178396072003	EZH2 (20g)
0.011227495908347	EZH2 (20g)
0.00157119476268412	EZH2 (20g)
0.0754500818330606	EZH2 (20g)
0.0633387888707038	EZH2 (20g)
0.0618657937806874	EZH2 (20g)
0.0341080196399345	EZH2 (20g)
0.0892307692307692	EZH2 (20g)
0.0266775777414075	EZH2 (20g)
0.00225859247135843	EZH2 (20g)
0.0455973813420622	EZH2 (20g)
0.0742716857610475	EZH2 (20g)
0.124549918166939	EZH2 (20g)
0.11728314238952499	EZH2 (20g)
0.0439607201309329	EZH2 (20g)
0.0486088379705401	EZH2 (20g)
0.0405891980360065	EZH2 (20g)
0.0346972176759411	EZH2 (20g)
0.0462193126022913	EZH2 (20g)
0.0783960720130933	EZH2 (20g)
0.0538461538461538	EZH2 (20g)
0.0299181669394435	EZH2 (20g)
0.00795417348608838	EZH2 (20g)
0.0227823240589198	EZH2 (20g)
0.00671031096563011	EZH2 (20g)
0.0314238952536825	EZH2 (20g)
0.0434042553191489	EZH2 (20g)
0.090671031096563	EZH2 (20g)
0.0366284779050736	EZH2 (20g)
0.0607855973813421	EZH2 (20g)
0.0522094926350246	EZH2 (20g)
0.0494926350245499	EZH2 (20g)
0.0387888707037643	EZH2 (20g)
0.0042880523731587605	EZH2 (20g)
0.0677905073649755	EZH2 (20g)
0.0544026186579378	EZH2 (20g)
0.0072340425531914904	EZH2 (20g)
0.086873977086743	EZH2 (20g)
0.0037643207855973795	EZH2 (20g)
0.0360392798690671	EZH2 (20g)
0.0454337152209493	EZH2 (20g)
0.0313584288052373	EZH2 (20g)
0.0278559738134206	EZH2 (20g)
0.00268412438625205	EZH2 (20g)
0.0418003273322422	EZH2 (20g)
0.11132569558101499	EZH2 (20g)
0.0635024549918167	EZH2 (20g)
0.0206219312602291	EZH2 (20g)
0.094468085106383	EZH2 (20g)
0.0825204582651391	EZH2 (20g)
0.0317184942716858	EZH2 (20g)
0.0755810147299509	EZH2 (20g)
0.0555482815057283	EZH2 (20g)
0.047430441898527	EZH2 (20g)
0.0760065466448445	EZH2 (20g)
0.13767594108019598	EZH2 (20g)
0.012962356792144	EZH2 (20g)
0.0224549918166939	EZH2 (20g)
0.11770867430441902	EZH2 (20g)
0.0810147299509002	EZH2 (20g)
0.00039279869067103103	EZH2 (20g)
0.0181342062193126	EZH2 (20g)
0.0421931260229133	EZH2 (20g)
