Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
cytoplasmic translation	GOTERM_BP_DIRECT	34	31.48148148148148	1.9241970459069928e-53	RPL30, RPL32, RPL31, RPL34, RPL12, RPL11, RPL8, RPS15, RPS14, RPS17, RPS16, RPL18A, RPS18, RPL36, RPL35, RPLP2, RPL13, RPL37, RPS27A, RPS11, RPL39, RPL17, RPL41, RPL21, RPS6, RPL35A, RPL23A, RPS26, RPS25, RPS27, RPS29, RPL26, FAU, RPS21	106	90	19414	69.19035639412998	1.266121656206801e-50	1.266121656206801e-50	1.2411070946100103e-50
translation	GOTERM_BP_DIRECT	34	31.48148148148148	6.016608635458622e-39	RPL30, RPL32, RPL31, RPL34, RPL12, RPL11, RPL8, RPS15, RPS14, RPS17, RPS16, RPL18A, RPS18, RPL36, RPL35, RPLP2, RPL13, RPL37, RPS27A, RPS11, RPL39, RPL17, RPL41, RPL21, RPS6, RPL35A, RPL23A, RPS26, RPS25, RPS27, RPS29, RPL26, FAU, RPS21	106	221	19414	28.177068214804066	3.958928482131773e-36	1.9794642410658864e-36	1.9403562849354056e-36
B cell receptor signaling pathway	GOTERM_BP_DIRECT	14	12.962962962962964	4.406222893072271e-13	BLK, IGHM, CD79B, IGLL5, PTPRC, IGKC, BANK1, TRBC2, IGHD, IGLC3, PTPN6, IGLC2, IGHA1, MS4A1	106	136	19414	18.85377358490566	2.899460671557108e-10	9.664315545471848e-11	9.473379220105382e-11
ribosomal small subunit biogenesis	GOTERM_BP_DIRECT	8	7.4074074074074066	1.3442281412252334e-07	RPS15, RPS14, RPS25, RPS17, RPS27, RPS16, RPS6, RPS11	106	73	19414	20.071336262600152	8.844630601878567e-05	2.2112552923155084e-05	2.1675678777256883e-05
rRNA processing	GOTERM_BP_DIRECT	9	8.333333333333332	7.428120751509007e-07	RPS15, RPS25, RPS17, RPS27, RPS16, RPS6, RPL11, RPL35A, RPL26	106	136	19414	12.120283018867926	0.0004886510981472192	9.775406908985852e-05	9.58227576944662e-05
positive regulation of B cell activation	GOTERM_BP_DIRECT	8	7.4074074074074066	1.0948934471263258e-06	IGHM, IGLL5, IGKC, TRBC2, IGLC3, IGHD, IGLC2, IGHA1	106	99	19414	14.800076234038494	0.0007201808278241018	0.00011017891889712659	0.0001080021317456636
phagocytosis, recognition	GOTERM_BP_DIRECT	8	7.4074074074074066	1.17211615848007e-06	IGHM, IGLL5, IGKC, TRBC2, IGLC3, IGHD, IGLC2, IGHA1	106	100	19414	14.652075471698112	0.0007709555452096728	0.00011017891889712659	0.0001080021317456636
phagocytosis, engulfment	GOTERM_BP_DIRECT	8	7.4074074074074066	3.1812949981325422e-06	IGHM, IGLL5, IGKC, TRBC2, IGLC3, IGHD, IGLC2, IGHA1	106	116	19414	12.631099544567338	0.0020911060235144774	0.0002616615135964017	0.00025649190922443627
complement activation, classical pathway	GOTERM_BP_DIRECT	8	7.4074074074074066	5.228639089757377e-06	IGHM, IGLL5, IGKC, TRBC2, IGLC3, IGHD, IGLC2, IGHA1	106	125	19414	11.721660377358491	0.0034345419367952656	0.0003822716134511505	0.00037471913476594534
defense response to bacterium	GOTERM_BP_DIRECT	10	9.25925925925926	7.846832087193143e-06	IGHM, IGLL5, IGKC, TRBC2, IGLC3, IGHD, IRF8, IGLC2, IGHA1, S100A8	106	247	19414	7.415017951264228	0.0051499291806580425	0.0005163215513373087	0.0005061206696239577
antibacterial humoral response	GOTERM_BP_DIRECT	6	5.5555555555555545	2.8914053568487128e-05	IGHM, FAU, IGHA1, B2M, RPL39, JCHAIN	106	66	19414	16.650085763293312	0.018845875627218508	0.0017295861134604125	0.0016954149592431091
innate immune response	GOTERM_BP_DIRECT	14	12.962962962962964	3.3610515772555096e-05	BLK, IGHM, NCF1, CORO1A, JCHAIN, IGLL5, IGKC, TRBC2, IGHD, IGLC3, IGLC2, IGHA1, B2M, S100A8	106	627	19414	4.0894947488790585	0.02187332329024827	0.0018429766148617712	0.0018065652227748363
immune response	GOTERM_BP_DIRECT	11	10.185185185185183	0.0003625976548772056	CD79B, IGKC, IGHD, IRF8, CXCR4, IGHA1, CRIP1, B2M, CTSS, JCHAIN, HLA-DQB1	106	497	19414	4.053642610379256	0.2122957078488608	0.01835301976224625	0.017990422107369043
adaptive immune response	GOTERM_BP_DIRECT	11	10.185185185185183	0.0004047133076061725	CD79B, IGHM, IGKC, TRBC2, IGLC3, IGHD, IGLC2, IGHA1, CTSS, JCHAIN, HLA-DQB1	106	504	19414	3.9973420185684336	0.2338331083837881	0.01902152545749011	0.018645720243284376
immunoglobulin mediated immune response	GOTERM_BP_DIRECT	5	4.62962962962963	0.0012208562626873304	IGLL5, IGKC, IGLC3, IGHD, IGLC2	106	86	19414	10.648310662571305	0.5523815983379315	0.05355489472321756	0.052496819295555205
retina homeostasis	GOTERM_BP_DIRECT	4	3.7037037037037033	0.001514007720222061	IGKC, IGHA1, B2M, JCHAIN	106	42	19414	17.442946990116802	0.6310049250793411	0.06226356749413225	0.061033436221451826
ribosomal small subunit assembly	GOTERM_BP_DIRECT	3	2.7777777777777777	0.003309083542066397	RPS15, RPS14, RPS27	106	16	19414	34.34080188679245	0.8870700426660051	0.12808099827527586	0.12555052262546035
humoral immune response	GOTERM_BP_DIRECT	4	3.7037037037037033	0.004407001375054623	POU2F2, MS4A1, JCHAIN, HLA-DQB1	106	61	19414	12.009897927621406	0.9453177142986708	0.161100383599219	0.15791754927279064
negative regulation of viral entry into host cell	GOTERM_BP_DIRECT	3	2.7777777777777777	0.007399663851454232	SNX3, IFITM1, LY6E	106	24	19414	22.893867924528305	0.9924566023418322	0.2562620428556255	0.2511991149572621
cell surface receptor signaling pathway	GOTERM_BP_DIRECT	7	6.481481481481482	0.008230142295397466	FCRLA, IFITM1, PTPRC, EVL, CLEC2D, MS4A1, LY6E	106	323	19414	3.9692154915590874	0.995651140084828	0.2707716815185766	0.2654220890265683
response to zinc ion	GOTERM_BP_DIRECT	3	2.7777777777777777	0.010695716871057144	HVCN1, CRIP1, S100A8	106	29	19414	18.946649316851012	0.9991545903904392	0.3351324619597905	0.32851130389675515
antigen processing and presentation of exogenous peptide antigen via MHC class II	GOTERM_BP_DIRECT	3	2.7777777777777777	0.012930097263296293	B2M, CTSS, HLA-DQB1	106	32	19414	17.170400943396228	0.9998090478049076	0.3867274545113164	0.3790869424920959
ribosomal large subunit biogenesis	GOTERM_BP_DIRECT	3	2.7777777777777777	0.014522576933470718	RPL11, RPL35A, RPL26	106	34	19414	16.160377358490567	0.9999340044104366	0.41547198357494497	0.4072635705255919
apoptotic process	GOTERM_BP_DIRECT	9	8.333333333333332	0.01860478937188611	TNFAIP8, NCF1, STK17A, CXCR4, CIB1, EMP3, DRAM2, CTSS, S100A8	106	616	19414	2.675906640529282	0.9999957015812968	0.5100813086125442	0.5000037143694391
antimicrobial humoral immune response mediated by antimicrobial peptide	GOTERM_BP_DIRECT	4	3.7037037037037033	0.02134526692057358	RPL30, FAU, B2M, RPL39	106	109	19414	6.721135537476199	0.9999993173288588	0.5618074253494967	0.5507078865507984
T cell proliferation	GOTERM_BP_DIRECT	3	2.7777777777777777	0.02265289278437073	PTPRC, PTPN6, CORO1A	106	43	19414	12.777972795085564	0.9999997167751437	0.5732924404659977	0.5619659940738124
cellular defense response	GOTERM_BP_DIRECT	3	2.7777777777777777	0.03338764183024474	FCMR, NCF1, LSP1	106	53	19414	10.367034531861872	0.999999999802284	0.8136691971963347	0.7975936659447354
T cell activation	GOTERM_BP_DIRECT	3	2.7777777777777777	0.03692667142106563	PTPRC, CD48, CD44	106	56	19414	9.811657681940698	0.9999999999823048	0.8396998918410391	0.8231100763487388
positive regulation of respiratory burst	GOTERM_BP_DIRECT	2	1.851851851851852	0.037256166354099764	IGHA1, JCHAIN	106	7	19414	52.3288409703504	0.9999999999858724	0.8396998918410391	0.8231100763487388
T cell receptor signaling pathway	GOTERM_BP_DIRECT	4	3.7037037037037033	0.038284189597615766	PTPRC, TRBC2, PTPN6, HLA-DQB1	106	137	19414	5.3474727998898235	0.9999999999930054	0.8396998918410391	0.8231100763487388
immune system process	GOTERM_BP_DIRECT	3	2.7777777777777777	0.040603013412831374	FCMR, IRF8, B2M	106	59	19414	9.312759833706428	0.9999999999985714	0.8618317040530015	0.8448046339121366
positive regulation of signal transduction by p53 class mediator	GOTERM_BP_DIRECT	2	1.851851851851852	0.04764594617567	RPS15, RPL37	106	9	19414	40.70020964360587	0.9999999999999888	0.9797197682372144	0.9603636026033484
