Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
cell division	GOTERM_BP_DIRECT	16	13.559322033898303	6.813632926157393e-09	CDT1, UBE2I, TUBB, SMC4, ZWINT, CKS1B, CCND3, TUBA1B, TUBA1A, PTTG1, UBE2S, CKS2, BIRC5, BUB3, RAN, MAD2L1	114	385	19414	7.077329687856004	7.678934798915904e-06	7.678964307779381e-06	7.3791644590284564e-06
mRNA splicing, via spliceosome	GOTERM_BP_DIRECT	12	10.16949152542373	1.9888378454324363e-08	HSPA8, HNRNPM, HNRNPA3, DDX39A, HNRNPK, HNRNPF, HNRNPA2B1, SRSF3, RALY, HNRNPA1, RBMX, SNRPB	114	196	19414	10.42642320085929	2.241395159563453e-05	1.1207101259011777e-05	1.076955693301664e-05
substantia nigra development	GOTERM_BP_DIRECT	7	5.932203389830509	3.420607429319092e-07	LDHA, YWHAQ, CALM3, CALM1, DYNLL1, CALM2, ACTB	114	48	19414	24.83516081871345	0.00038542822669018767	0.00012850081909475394	0.00012348392819841922
regulation of synaptic vesicle endocytosis	GOTERM_BP_DIRECT	5	4.23728813559322	1.4135929915194518e-06	CALM3, CALM1, CALM2, ACTB, ACTG1	114	15	19414	56.76608187134504	0.0015918520847716386	0.0003982798253606056	0.0003827303024538917
negative regulation of apoptotic process	GOTERM_BP_DIRECT	14	11.864406779661017	1.0933203803732132e-05	XBP1, ARL6IP1, HSPB1, YBX3, SOCS2, DNAJA1, TCL1A, HNRNPK, DDAH2, CFL1, CD27, BIRC5, PTMA, MAD2L1	114	522	19414	4.567385897694428	0.01224618565240465	0.0023525819048577337	0.002260733099344211
protein refolding	GOTERM_BP_DIRECT	5	4.23728813559322	1.2524837115480393e-05	DNAJA1, FKBP1A, HSPA8, HSP90AA1, HSPB1	114	25	19414	34.059649122807016	0.014016422134436102	0.0023525819048577337	0.002260733099344211
mitotic cell cycle	GOTERM_BP_DIRECT	8	6.779661016949151	2.905160212919197e-05	CDT1, TUBA1B, TUBA1A, TUBB, BIRC5, KIF22, TUBB4B, RAN	114	151	19414	9.0224236086906	0.03221142633814822	0.004677307942799906	0.004494697872273557
positive regulation of DNA binding	GOTERM_BP_DIRECT	5	4.23728813559322	3.908680159256827e-05	HMGB2, CALM3, HMGB1, CALM1, CALM2	114	33	19414	25.80276448697501	0.04309550267741824	0.005506353174353055	0.0052913757655939295
cell cycle	GOTERM_BP_DIRECT	11	9.322033898305083	5.077771565013295e-05	CDT1, MCM7, NASP, DUSP1, UHRF1, MCM3, BIRC5, ERH, SMC4, TERF2, CKS1B	114	362	19414	5.174808568382281	0.05562121545381682	0.006358498393077759	0.006110251783232665
mitotic sister chromatid segregation	GOTERM_BP_DIRECT	5	4.23728813559322	6.196522530643206e-05	BUB3, SMC4, ZWINT, RAN, MAD2L1	114	37	19414	23.013276434329065	0.06745416203213728	0.006983480892034893	0.006710833900686592
establishment of protein localization to mitochondrial membrane	GOTERM_BP_DIRECT	3	2.5423728813559325	0.00010035784205237984	CALM3, CALM1, CALM2	114	3	19414	170.2982456140351	0.10694665564842164	0.009555660043297082	0.009182590795821418
positive regulation of phosphoprotein phosphatase activity	GOTERM_BP_DIRECT	4	3.3898305084745757	0.00010174615840245341	PPP1R15A, CALM3, CALM1, CALM2	114	16	19414	42.574561403508774	0.10834300439145206	0.009555660043297082	0.009182590795821418
response to corticosterone	GOTERM_BP_DIRECT	4	3.3898305084745757	0.00012302547791343815	CALM3, FOS, CALM1, CALM2	114	17	19414	40.07017543859649	0.12947451422279987	0.010665362585264985	0.010248968660019502
platelet aggregation	GOTERM_BP_DIRECT	5	4.23728813559322	0.00018839065301731205	HSPB1, PPIA, CLIC1, ACTB, ACTG1	114	49	19414	17.37737200143215	0.1913072853694392	0.014343863790396571	0.0137838549112684
DNA geometric change	GOTERM_BP_DIRECT	3	2.5423728813559325	0.00019995087735514568	HMGB2, HMGB3, HMGB1	114	4	19414	127.72368421052632	0.2017769191900206	0.014343863790396571	0.0137838549112684
regulation of ryanodine-sensitive calcium-release channel activity	GOTERM_BP_DIRECT	4	3.3898305084745757	0.00020363959241024416	FKBP1A, CALM3, CALM1, CALM2	114	20	19414	34.059649122807016	0.2050890567309156	0.014343863790396571	0.0137838549112684
response to calcium ion	GOTERM_BP_DIRECT	5	4.23728813559322	0.00027498013120750826	HNRNPD, CALM3, CALM1, CALM2, ACTG1	114	54	19414	15.768356075373616	0.2665128675414059	0.018229565168874223	0.01751785188810185
positive regulation of cyclic-nucleotide phosphodiesterase activity	GOTERM_BP_DIRECT	3	2.5423728813559325	0.00033198220058937755	CALM3, CALM1, CALM2	114	5	19414	102.17894736842103	0.3121648369721306	0.01969178631916992	0.018922985433594518
negative regulation of calcium ion export from cell	GOTERM_BP_DIRECT	3	2.5423728813559325	0.00033198220058937755	CALM3, CALM1, CALM2	114	5	19414	102.17894736842103	0.3121648369721306	0.01969178631916992	0.018922985433594518
positive regulation of nitric-oxide synthase activity	GOTERM_BP_DIRECT	4	3.3898305084745757	0.0004022349417217682	CALM3, CALM1, CALM2, TERF2	114	25	19414	27.24771929824561	0.3645424409265593	0.02266593896602164	0.021781022094233743
positive regulation of protein dephosphorylation	GOTERM_BP_DIRECT	4	3.3898305084745757	0.0005656895649031447	CALM3, CALM1, CALM2, PPIA	114	28	19414	24.32832080200501	0.4715000299377203	0.030358673316468767	0.029173418990005036
negative regulation of calcium ion transmembrane transporter activity	GOTERM_BP_DIRECT	3	2.5423728813559325	0.0006918656407422488	CALM3, CALM1, CALM2	114	7	19414	72.98496240601503	0.5415951056841061	0.03544238986893248	0.034058658587447985
protein folding	GOTERM_BP_DIRECT	7	5.932203389830509	0.0007296382235944589	DNAJA1, FKBP1A, HSPA8, HSP90AA1, PTGES3, PDIA6, PPIA	114	184	19414	6.478737604881768	0.5607130415606346	0.03575227295612849	0.03435644331099126
