Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
cytoplasmic translation	GOTERM_BP_DIRECT	72	61.53846153846154	3.237285072184302e-153	RPL5, RPL30, RPL3, RPL32, RPL31, RPL34, RPLP1, RPLP0, RPL10A, RPL8, RPL9, RPL6, RPL7, RPS4X, RPS15, RPS14, RPL7A, RPS17, RPS16, RPL18A, RPS18, RPL36, RPLP2, RPL35, RPL38, RPL37, RPS11, RPL39, RPS10, RPS13, RPS12, RPS9, RPL21, RPS7, RPS8, RPL23, RPS5, RPL22, RPS6, RPS3A, RPL37A, RPL24, RPL27, RPL26, RPL29, RPL28, RPL10, RPL12, RPL11, RPL36A, RPS15A, RPS3, RPL14, RPL13, RPS2, RPS27A, RPL17, RPL19, RPL41, RPL35A, RPL23A, RPS26, RPS25, RPS28, RPS27, RPS29, RPL27A, RPS20, RPL22L1, RPS21, RPS24, RPS23	113	90	19414	137.44424778761064	1.469727422771673e-150	1.469727422771673e-150	1.4341172869776455e-150
translation	GOTERM_BP_DIRECT	74	63.24786324786324	3.366907306903083e-118	RPL5, RPL30, RPL3, RPL32, RPL31, RPL34, RPLP1, RPLP0, RPL10A, RPL8, RPL9, RPL6, RPL7, RPS4X, RPS15, RPS14, RPL7A, RPS17, RPS16, RPL18A, RPS18, RPL36, RPLP2, RPL35, RPL38, RPL37, RPS11, RPL39, RPS10, RPS13, RPS12, RPS9, RPL21, RPS7, RPS8, RPL23, RPS5, RPL22, RPS6, RPS3A, RPL37A, RPL24, RPL27, RPL26, RPL29, RPL28, RPL10, RPL12, RPL11, RPL36A, RPS15A, RPS3, RPL14, RPL13, RPS2, RPS27A, RPL17, RPL19, RPL41, RPL35A, RPL23A, RPS26, RPS25, RPS28, RPS27, NACA, RPS29, RPL27A, RPS20, RPL22L1, RPS21, RSL24D1, RPS24, RPS23	113	221	19414	57.52756977535738	1.5285759173339997e-115	7.642879586669999e-116	7.457699684790328e-116
ribosomal small subunit biogenesis	GOTERM_BP_DIRECT	21	17.94871794871795	9.253758555725193e-29	NPM1, RPS9, RPS7, RPS8, RPS5, RPS6, RPS3A, RPS15, RPS4X, RPS14, RPS25, RPS17, RPS28, RPS15A, RPS16, RPS27, RPS11, RPS24, RPS13, RPS23, RPS12	113	73	19414	49.42344526609286	4.201206384299238e-26	1.4004021280997458e-26	1.366471680062087e-26
rRNA processing	GOTERM_BP_DIRECT	17	14.529914529914533	7.078336437386961e-17	RPL5, RPS7, RPS6, RPL11, DDX21, RPL35A, RPL7, RPS15, RPS25, RPS17, RPS28, RPS16, RPS27, RPL14, RPL27, RPL26, RPS24	113	136	19414	21.47566371681416	5.040412531798211e-14	8.033911856434201e-15	7.839257604406059e-15
ribosomal large subunit assembly	GOTERM_BP_DIRECT	8	6.837606837606838	3.995907375847723e-11	RPL5, RPL3, RPL10, RPL11, RPLP0, RPL24, RPL23A, RPL6	113	23	19414	59.75836860330897	1.81414022693005e-08	3.6282838972697334e-09	3.540373935001083e-09
ribosomal large subunit biogenesis	GOTERM_BP_DIRECT	8	6.837606837606838	8.322766313262862e-10	RPL5, NPM1, RPL11, RPL14, RPL35A, RPL26, RSL24D1, RPL7	113	34	19414	40.42477876106194	3.778534964915536e-07	6.297559843702233e-08	6.144975794625747e-08
ribosomal small subunit assembly	GOTERM_BP_DIRECT	5	4.2735042735042725	1.8108155520596809e-06	RPS15, RPS14, RPS28, RPS27, RPS5	113	16	19414	53.6891592920354	0.0008217731643166415	0.00011744432294787075	0.00011459875565177695
positive regulation of signal transduction by p53 class mediator	GOTERM_BP_DIRECT	4	3.418803418803419	1.530890816351007e-05	RPS15, RPL23, RPS20, RPL37	113	9	19414	76.35791543756146	0.006926200049856335	0.0008687805382791966	0.0008477307895543702
negative regulation of ubiquitin protein ligase activity	GOTERM_BP_DIRECT	4	3.418803418803419	2.177789672032249e-05	RPL5, RPS7, RPL23, RPL11	113	10	19414	68.72212389380529	0.009838554388161835	0.0010985739012251564	0.0010719564719003179
regulation of translation	GOTERM_BP_DIRECT	6	5.128205128205128	0.00014814052077780646	RPS14, RPS9, RPL10, RPLP1, RPS3, RPL38	113	87	19414	11.848642050656087	0.06504864574298486	0.0067255796433124135	0.006562625070456826
negative regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process	GOTERM_BP_DIRECT	4	3.418803418803419	0.00016931927564475284	RPL5, RPS7, RPL23, RPL11	113	19	19414	36.16953889147648	0.07399668066218856	0.006988268285701618	0.0068189490100568646
translational initiation	GOTERM_BP_DIRECT	5	4.2735042735042725	0.0002853712948509045	RPS17, RPS5, RPS3, RPS3A, EIF3E	113	55	19414	15.618664521319387	0.12153310667930314	0.010796547321859223	0.010534956968245893
positive regulation of translation	GOTERM_BP_DIRECT	5	4.2735042735042725	0.001420347293954122	RPS4X, RPL5, NPM1, EIF3E, RPL26	113	84	19414	10.226506531816268	0.4754927624383501	0.049602897804243935	0.04840106547859047
protein stabilization	GOTERM_BP_DIRECT	7	5.982905982905983	0.0020434346941548094	RPL5, HSP90AB1, RPS7, RPL23, RPL11, CALR, HSPD1	113	227	19414	5.297961093134772	0.6049205959421904	0.06626566793902025	0.06466011210789861
positive regulation of cell proliferation	GOTERM_BP_DIRECT	10	8.547008547008549	0.004112642695663362	RPS4X, TIPIN, NPM1, RPS9, RPS15A, RPL23, RPS6, NAP1L1, MIF, CALR	113	541	19414	3.1756988860353657	0.8460288116384798	0.12374751330167115	0.12074922553445006
negative regulation of protein ubiquitination	GOTERM_BP_DIRECT	4	3.418803418803419	0.004361145843230701	RPS15, RPS3, RPS20, RPL37	113	57	19414	12.056512963825492	0.8625218459773722	0.12374751330167115	0.12074922553445006
negative regulation of apoptotic process	GOTERM_BP_DIRECT	9	7.6923076923076925	0.010755241239223529	NPM1, HSP90AB1, RPL10, RPS6, RPS3A, NAA38, MIF, HSP90B1, HSPD1	113	522	19414	2.9621605126640222	0.9926225527711438	0.2872282072122048	0.2802689334691778
negative regulation of protein localization to endoplasmic reticulum	GOTERM_BP_DIRECT	2	1.7094017094017095	0.011505079035716823	BTF3, NACA	113	2	19414	171.80530973451332	0.9947712635518146	0.2890906513654281	0.2820862523235345
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	GOTERM_BP_DIRECT	3	2.564102564102564	0.012098507435998091	RPS14, RPS16, RPS8	113	29	19414	17.77296307598413	0.9960189899074192	0.2890906513654281	0.2820862523235345
protein folding	GOTERM_BP_DIRECT	5	4.2735042735042725	0.021978253271997962	HSP90AB1, CALR, HSPE1, HSP90B1, HSPD1	113	184	19414	4.668622547133513	0.9999584831615591	0.4989063492743538	0.4868183099747549
ribosome biogenesis	GOTERM_BP_DIRECT	3	2.564102564102564	0.023365695126396118	RPL7A, RPS28, RPLP0	113	41	19414	12.57112022447658	0.9999782070168304	0.5051440755897065	0.4929049019520705
negative regulation of protein neddylation	GOTERM_BP_DIRECT	2	1.7094017094017095	0.02851716445668153	RPL5, RPL11	113	5	19414	68.72212389380529	0.9999980250785946	0.5629040288405833	0.5492653849699964
sequestering of calcium ion	GOTERM_BP_DIRECT	2	1.7094017094017095	0.02851716445668153	CALR, HSP90B1	113	5	19414	68.72212389380529	0.9999980250785946	0.5629040288405833	0.5492653849699964
negative regulation of RNA splicing	GOTERM_BP_DIRECT	2	1.7094017094017095	0.0341231244548342	RPS26, RPS13	113	6	19414	57.26843657817109	0.9999998572806266	0.6454957709372804	0.6298560055621479
