Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
DNA replication	GOTERM_BP_DIRECT	23	9.913793103448276	1.4905041119880308e-20	GINS2, RRM1, FEN1, DUT, RFC4, RRM2, RNASEH2A, PCNA, LIG1, MCM7, RPA2, ORC6, CHAF1A, NASP, RBBP4, RPA3, POLE3, CDK1, MCM4, MCM5, RBBP7, MCM6, MCM2	221	121	19414	16.698029243483788	2.1448354171507767e-17	2.1448354171507767e-17	2.0732912197753512e-17
regulation of DNA-dependent DNA replication initiation	GOTERM_BP_DIRECT	8	3.4482758620689653	6.998005138547747e-11	CDT1, MCM7, GMNN, MCM3, MCM4, MCM5, MCM6, MCM2	221	14	19414	50.1978021978022	1.0070124623062783e-07	4.313476966840706e-08	4.1695944828877154e-08
cell division	GOTERM_BP_DIRECT	24	10.344827586206897	8.992655247061931e-11	CDT1, HELLS, CENPW, LIG1, UBE2C, TUBB, CDCA7, VRK1, SMC4, ZWINT, SMC2, CKS1B, SKA2, CCND3, TUBA1B, PTTG1, CDK4, CKS2, CDK1, BIRC5, MCM5, BUB3, RAN, MAD2L1	221	385	19414	5.476123876123877	1.2940424054530553e-07	4.313476966840706e-08	4.1695944828877154e-08
double-strand break repair via break-induced replication	GOTERM_BP_DIRECT	7	3.0172413793103448	1.7268615480167409e-09	GINS2, MCM7, MCM3, MCM4, MCM5, MCM6, MCM2	221	12	19414	51.24358974358975	2.4849506745638905e-06	6.212384418990224e-07	6.005161033228215e-07
DNA unwinding involved in DNA replication	GOTERM_BP_DIRECT	8	3.4482758620689653	3.219400371149598e-09	GINS2, MCM7, HMGA1, MCM3, MCM4, MCM5, MCM6, MCM2	221	22	19414	31.944055944055947	4.632706470664161e-06	9.265434268168542e-07	8.956371832538181e-07
protein folding	GOTERM_BP_DIRECT	14	6.0344827586206895	1.8714123932731536e-07	PDIA3, HSPA8, HSP90AA1, PTGES3, PDIA6, HSPD1, PDIA4, HSP90B1, LMAN1, DNAJB11, P4HB, CALR, PPIB, PPIA	221	184	19414	6.683946488294313	0.00026926001154081725	4.488270723200114e-05	4.338557731738262e-05
protein N-linked glycosylation via asparagine	GOTERM_BP_DIRECT	7	3.0172413793103448	2.2450062206312075e-07	RPN2, DAD1, DERL3, OSTC, RPN1, DDOST, UBE2J1	221	24	19414	25.621794871794872	0.00032300425434417246	4.615091359269011e-05	4.4611480755685855e-05
protein targeting to ER	GOTERM_BP_DIRECT	6	2.586206896551724	4.888830891486711e-07	SEC61A1, SPCS3, SPCS2, SPCS1, SEC61G, HERPUD1	221	15	19414	35.138461538461534	0.0007032555370403147	8.706474863597803e-05	8.41605735598648e-05
negative regulation of apoptotic process	GOTERM_BP_DIRECT	22	9.482758620689657	5.638156571385589e-07	XBP1, HSPA5, GSTP1, GLO1, ANXA5, IFI6, MIF, HSPD1, MTDH, UNG, HSP90B1, MYDGF, DAD1, CDK1, CD27, BIRC5, CD38, TMBIM6, VDAC1, PIM2, PTMA, MAD2L1	221	522	19414	3.702328323017978	0.0008110019194065287	8.706474863597803e-05	8.41605735598648e-05
DNA replication initiation	GOTERM_BP_DIRECT	7	3.0172413793103448	6.050364741902575e-07	ORC6, MCM7, MCM3, MCM4, MCM5, MCM6, MCM2	221	28	19414	21.961538461538463	0.0008702688458998019	8.706474863597803e-05	8.41605735598648e-05
cell cycle	GOTERM_BP_DIRECT	18	7.758620689655173	8.714420883110529e-07	CDT1, HELLS, MCM7, UHRF1, SMC4, SMC2, CKS1B, CHAF1A, NASP, RBBP4, MCM3, BIRC5, MCM4, MCM5, ERH, PIM2, MCM6, MCM2	221	362	19414	4.368040798980025	0.001253219774809966	0.00011400046955269136	0.00011019781316733403
substantia nigra development	GOTERM_BP_DIRECT	8	3.4482758620689653	1.0823378531605184e-06	LDHA, YWHAQ, HSPA5, CALM3, DYNLL1, CALM2, ACTB, YWHAH	221	48	19414	14.641025641025644	0.0015562727631541762	0.0001297903475581655	0.00012546099614552344
protein N-linked glycosylation	GOTERM_BP_DIRECT	8	3.4482758620689653	2.457615319952436e-06	KRTCAP2, RPN2, TMEM258, DAD1, OSTC, RPN1, MLEC, DDOST	221	54	19414	13.014245014245017	0.0035302666949985633	0.0002720391111855043	0.00026296483923491065
mitotic sister chromatid segregation	GOTERM_BP_DIRECT	7	3.0172413793103448	3.4289360063045688e-06	CENPK, NUSAP1, BUB3, SMC4, ZWINT, RAN, MAD2L1	221	37	19414	16.619542619542614	0.004922093971704289	0.0003524456366480197	0.000340689284626404
ubiquitin-dependent ERAD pathway	GOTERM_BP_DIRECT	9	3.8793103448275854	3.7852627337607e-06	ERLEC1, VCP, HSPA5, DERL3, SEC61B, CALR, HSP90B1, UBE2J1, HERPUD1	221	81	19414	9.760683760683762	0.005432195358857639	0.0003631328715921098	0.00035102003084407557
protein folding in endoplasmic reticulum	GOTERM_BP_DIRECT	5	2.155172413793104	4.97522384613795e-06	PDIA3, HSPA5, P4HB, CALR, HSP90B1	221	11	19414	39.930069930069926	0.007133797722613243	0.0004474591946620319	0.000432533523123618
mitotic cell cycle	GOTERM_BP_DIRECT	11	4.741379310344827	8.882414658324901e-06	CDT1, TUBA1B, CENPW, TUBB, SRSF2, BIRC5, MYBL2, KIF22, TUBB4B, RAN, SKA2	221	151	19414	6.399388690779419	0.012700510528324771	0.0007518702760782077	0.0007267905170429375
signal peptide processing	GOTERM_BP_DIRECT	5	2.155172413793104	1.4693086424152145e-05	SPCS3, SPCS2, SPCS1, HM13, SEC11C	221	14	19414	31.37362637362637	0.02092154982652572	0.0011746306313530524	0.001135449067555313
endoplasmic reticulum unfolded protein response	GOTERM_BP_DIRECT	7	3.0172413793103448	2.3275046057108373e-05	ERLEC1, XBP1, VCP, SERP1, HSPA5, DERL3, HERPUD1	221	51	19414	12.057315233785822	0.0329384944522616	0.0017627784882199454	0.0017039783718651447
retrograde protein transport, ER to cytosol	GOTERM_BP_DIRECT	5	2.155172413793104	2.624281731418636e-05	ERLEC1, VCP, SEC61B, HSP90B1, HERPUD1	221	16	19414	27.45192307692308	0.037059745025021074	0.0018881707057557086	0.0018251879442016613
kinetochore organization	GOTERM_BP_DIRECT	4	1.7241379310344829	2.79969748470908e-05	CDT1, CENPH, SMC4, SMC2	221	6	19414	58.564102564102576	0.03948743082256556	0.0019184593716649364	0.0018544662863001573
base-excision repair	GOTERM_BP_DIRECT	6	2.586206896551724	3.272067198656565e-05	FEN1, LIG1, RPA3, HMGA1, RPA2, UNG	221	33	19414	15.972027972027972	0.04599447613207031	0.0021402294085758173	0.0020688388515142197
DNA repair	GOTERM_BP_DIRECT	14	6.0344827586206895	3.605704441470699e-05	RRM1, VCP, FEN1, RFC4, LIG1, UHRF1, HMGB1, KIF22, UNG, CHAF1A, PTTG1, UBE2T, RPA3, CDK1	221	297	19414	4.140896140896141	0.05056387416776476	0.002255916822294059	0.002180667338298149
response to endoplasmic reticulum stress	GOTERM_BP_DIRECT	8	3.4482758620689653	4.715384237068818e-05	PDIA3, XBP1, TMEM258, P4HB, PDIA6, HSP90B1, PDIA4, HERPUD1	221	84	19414	8.36630036630037	0.06560496362316537	0.0028272657988091788	0.0027329581140678023
chromosome segregation	GOTERM_BP_DIRECT	8	3.4482758620689653	5.089666573196725e-05	TOP2A, CDT1, CENPW, CENPH, BIRC5, BANF1, SLC25A5, SKA2	221	85	19414	8.267873303167423	0.0706242603356525	0.0029296120795320353	0.002831890481326658
DNA strand elongation involved in DNA replication	GOTERM_BP_DIRECT	4	1.7241379310344829	7.708489624131e-05	RFC4, MCM7, MCM3, MCM4	221	8	19414	43.92307692307693	0.1049981030734195	0.00426635252658635	0.004124041948910085
negative regulation of retrograde protein transport, ER to cytosol	GOTERM_BP_DIRECT	4	1.7241379310344829	0.00011466042048586316	ERLEC1, DERL3, SVIP, UBE2J1	221	9	19414	39.042735042735046	0.15211121798647242	0.005892726609969897	0.005696165889136988
posttranslational protein targeting to membrane, translocation	GOTERM_BP_DIRECT	4	1.7241379310344829	0.00011466042048586316	SEC61A1, HSPA5, SEC61G, SEC61B	221	9	19414	39.042735042735046	0.15211121798647242	0.005892726609969897	0.005696165889136988
heterochromatin assembly	GOTERM_BP_DIRECT	7	3.0172413793103448	0.0001417057393700892	RBBP4, CBX3, UHRF1, POLE3, HMGB1, RBBP7, LMNB1	221	70	19414	8.784615384615384	0.1844797356572289	0.007031536515639943	0.006796989084958416
ER to Golgi vesicle-mediated transport	GOTERM_BP_DIRECT	9	3.8793103448275854	0.00015461394384006362	LMAN1, VCP, TMED9, TMED10, LMAN2, TMED2, KDELR2, P4HB, COPE	221	135	19414	5.856410256410258	0.19949033022217003	0.007341977165012745	0.007097074521565481
glycolytic process	GOTERM_BP_DIRECT	6	2.586206896551724	0.00016767676573237558	LDHA, PKM, TPI1, PGAM1, ENO1, GAPDH	221	46	19414	11.458193979933114	0.21439966636285998	0.007341977165012745	0.007097074521565481
cellular response to interleukin-4	GOTERM_BP_DIRECT	5	2.155172413793104	0.00016837056736999348	XBP1, TUBA1B, HSPA5, CDK4, MCM2	221	25	19414	17.569230769230767	0.21518373473872632	0.007341977165012745	0.007097074521565481
protein refolding	GOTERM_BP_DIRECT	5	2.155172413793104	0.00016837056736999348	HSPA8, HSP90AA1, HSPA5, B2M, HSPD1	221	25	19414	17.569230769230767	0.21518373473872632	0.007341977165012745	0.007097074521565481
cellular response to interleukin-7	GOTERM_BP_DIRECT	4	1.7241379310344829	0.0003775127634448016	PDIA3, P4HB, LSP1, HSPD1	221	13	19414	27.029585798816573	0.4191968736148767	0.015977672546972632	0.015444713351521146
nucleosome assembly	GOTERM_BP_DIRECT	9	3.8793103448275854	0.0003964049061082966	CHAF1A, NASP, RBBP4, POLE3, HMGB2, DNAJC9, ANP32B, MCM2, ASF1B	221	155	19414	5.10074441687345	0.4347797211467517	0.016297904568281108	0.01575426355418973
mismatch repair	GOTERM_BP_DIRECT	5	2.155172413793104	0.0004498139607641467	RNASEH2A, PCNA, LIG1, RPA3, RPA2	221	32	19414	13.725961538461537	0.476609746993205	0.017980063598322417	0.017380311650636887
response to unfolded protein	GOTERM_BP_DIRECT	6	2.586206896551724	0.0005020865478279045	HSPA8, HSP90AA1, TMBIM6, MANF, HSPD1, HERPUD1	221	58	19414	9.087533156498674	0.5145524269026565	0.019527095738496068	0.0188757402169896
regulation of insulin receptor signaling pathway	GOTERM_BP_DIRECT	4	1.7241379310344829	0.0005906149177656232	CCND3, CDK4, MZB1, NUCKS1	221	15	19414	23.42564102564103	0.5726474429237716	0.022365654385913997	0.021619614489789003
response to xenobiotic stimulus	GOTERM_BP_DIRECT	11	4.741379310344827	0.0006454689215871699	HSP90AA1, RPN2, MDK, XRCC5, DAD1, CDK4, CDK1, CD38, CYBA, CALR, TYMS	221	253	19414	3.819397993311037	0.6051027492476075	0.02381614815804968	0.023021724869942396
apoptotic process	GOTERM_BP_DIRECT	18	7.758620689655173	0.0006839906246070879	SRGN, RTN3, HELLS, XBP1, SIVA1, CDCA7, IFI6, DYNLL1, MYDGF, DAD1, MZB1, CDK1, BIRC5, CYCS, VDAC1, PIM2, PPIA, MCM2	221	616	19414	2.5669330669330668	0.6264110968455674	0.02460656272023999	0.023785773970711483
DNA geometric change	GOTERM_BP_DIRECT	3	1.293103448275862	0.0007555895296719943	HMGB2, HMGB3, HMGB1	221	4	19414	65.88461538461539	0.6630107721448101	0.02651934959019512	0.025634756970091325
regulation of mitotic cell cycle	GOTERM_BP_DIRECT	6	2.586206896551724	0.0009101540158460329	RPA3, GMNN, CKS2, BIRC5, PIM2, CKS1B	221	66	19414	7.986013986013987	0.7302630381863795	0.030458409972149793	0.02944242409399608
G1/S transition of mitotic cell cycle	GOTERM_BP_DIRECT	6	2.586206896551724	0.0009101540158460329	ITGB1, CCND3, NASP, CDK4, E2F1, PIM2	221	66	19414	7.986013986013987	0.7302630381863795	0.030458409972149793	0.02944242409399608
canonical glycolysis	GOTERM_BP_DIRECT	4	1.7241379310344829	0.0010329731780120749	PKM, TPI1, PGAM1, ENO1	221	18	19414	19.521367521367523	0.7739991826066407	0.03378291825362217	0.03265603842306354
mitotic DNA replication initiation	GOTERM_BP_DIRECT	3	1.293103448275862	0.0012499047332724651	MCM3, MCM4, MCM2	221	5	19414	52.707692307692305	0.8346577806148192	0.03996917580397949	0.03863594408848886
retina homeostasis	GOTERM_BP_DIRECT	5	2.155172413793104	0.0012816205609391274	IGKC, IGHA1, B2M, ACTB, JCHAIN	221	42	19414	10.457875457875456	0.8420433757258267	0.04009243450416096	0.03875509131013752
mRNA splicing, via spliceosome	GOTERM_BP_DIRECT	9	3.8793103448275854	0.0018185078272228707	HSPA8, SNRPD1, HNRNPF, HNRNPA2B1, SRSF2, SNRPG, RALY, SNRNP25, SNRPB	221	196	19414	4.033751962323391	0.9271399657514098	0.05464848047878418	0.052825598572612084
glucocorticoid receptor signaling pathway	GOTERM_BP_DIRECT	3	1.293103448275862	0.0018608586125506772	PTGES3, CALR, YWHAH	221	6	19414	43.92307692307693	0.9314553635884488	0.05464848047878418	0.052825598572612084
COPI coating of Golgi vesicle	GOTERM_BP_DIRECT	3	1.293103448275862	0.0018608586125506772	TMED9, TMED10, TMED2	221	6	19414	43.92307692307693	0.9314553635884488	0.05464848047878418	0.052825598572612084
DNA recombination	GOTERM_BP_DIRECT	6	2.586206896551724	0.0024015139991820944	XRCC6, LIG1, XRCC5, RPA3, HMGB3, HMGB1	221	82	19414	6.427767354596623	0.9685681902872304	0.06911557289646067	0.06681011945724585
DNA ligation	GOTERM_BP_DIRECT	3	1.293103448275862	0.0025857682338901785	TOP2A, XRCC6, LIG1	221	7	19414	37.64835164835165	0.9759047250197992	0.07155616324169167	0.06916930025656227
maintenance of DNA methylation	GOTERM_BP_DIRECT	3	1.293103448275862	0.0025857682338901785	HELLS, DNMT1, UHRF1	221	7	19414	37.64835164835165	0.9759047250197992	0.07155616324169167	0.06916930025656227
negative regulation of transcription, DNA-templated	GOTERM_BP_DIRECT	16	6.896551724137932	0.002978452257075972	HSPA8, XRCC6, XRCC5, CBX3, GMNN, HMGB2, HMGA1, ENO1, RBBP4, YWHAQ, E2F1, SRSF2, BIRC5, CD38, RBBP7, CALR	221	588	19414	2.3903715332286763	0.9863277672942738	0.08086778864023253	0.07817032244514484
hypermethylation of CpG island	GOTERM_BP_DIRECT	3	1.293103448275862	0.003421996013085959	HELLS, DNMT1, UHRF1	221	8	19414	32.94230769230769	0.9927929597571066	0.08953185932419445	0.08654539007641034
7-methylguanosine cap hypermethylation	GOTERM_BP_DIRECT	3	1.293103448275862	0.003421996013085959	SNRPD1, SNRPG, SNRPB	221	8	19414	32.94230769230769	0.9927929597571066	0.08953185932419445	0.08654539007641034
DNA topological change	GOTERM_BP_DIRECT	3	1.293103448275862	0.0043669490395064035	TOP2A, HMGB2, HMGB1	221	9	19414	29.28205128205128	0.9981596523512914	0.11221499406874487	0.10847189489202512
chromosome organization	GOTERM_BP_DIRECT	4	1.7241379310344829	0.0046508001289048044	CENPW, PTTG1, HMGB1, SMC4	221	30	19414	11.712820512820516	0.9987790335361826	0.11430219310512728	0.110489472278827
cellular response to gamma radiation	GOTERM_BP_DIRECT	4	1.7241379310344829	0.0046508001289048044	XRCC6, HSPA5, XRCC5, CYBA	221	30	19414	11.712820512820516	0.9987790335361826	0.11430219310512728	0.110489472278827
DNA duplex unwinding	GOTERM_BP_DIRECT	5	2.155172413793104	0.004765901032875356	XRCC6, RFC4, XRCC5, SUB1, MCM3	221	60	19414	7.320512820512822	0.9989662127574208	0.11430219310512728	0.110489472278827
telomere maintenance	GOTERM_BP_DIRECT	5	2.155172413793104	0.004765901032875356	XRCC6, XRCC5, RPA3, PTGES3, RPA2	221	60	19414	7.320512820512822	0.9989662127574208	0.11430219310512728	0.110489472278827
regulation of mRNA stability	GOTERM_BP_DIRECT	5	2.155172413793104	0.0053573796997336285	CARHSP1, PSMA4, PSMC3, PSMB2, VIM	221	62	19414	7.084367245657568	0.9995605533266948	0.12564913214923715	0.12145791717831055
protein peptidyl-prolyl isomerization	GOTERM_BP_DIRECT	4	1.7241379310344829	0.00558828662790214	FKBP11, FKBP2, PPIB, PPIA	221	32	19414	10.980769230769232	0.999685365134086	0.12564913214923715	0.12145791717831055
mitotic spindle assembly checkpoint	GOTERM_BP_DIRECT	4	1.7241379310344829	0.00558828662790214	BIRC5, BUB3, ZWINT, MAD2L1	221	32	19414	10.980769230769232	0.999685365134086	0.12564913214923715	0.12145791717831055
DNA replication-dependent nucleosome assembly	GOTERM_BP_DIRECT	4	1.7241379310344829	0.00558828662790214	CHAF1A, NASP, RBBP4, ASF1B	221	32	19414	10.980769230769232	0.999685365134086	0.12564913214923715	0.12145791717831055
